rid,Name,Stoichiometry,dG,EC
R08572,ATP:(R)-glycerate 2-phosphotransferase,ATP + D-Glycerate <-> 2-Phospho-D-glycerate + ADP,-10.881512561402815,2.7.1.165
R01126,inosine 5'-monophosphate phosphohydrolase,IMP + H2O -> Inosine + Orthophosphate,-22.526476902683264,3.1.3.5/3.1.3.99/3.1.3.-
R03777,octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase,FAD + Octanoyl-CoA -> trans-Oct-2-enoyl-CoA + FADH2,40.69752348196607,1.3.3.6/1.3.8.7/1.3.8.8/1.3.99.-
R06558,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase,Adenosyl cobinamide + GTP -> Adenosyl cobinamide phosphate + GDP,-32.14757161884165,2.7.1.156
R09735,adenylyl-molybdopterin:molybdate molybdate transferase (AMP-forming),Molybdate + Adenylated molybdopterin <-> AMP + Molybdoenzyme molybdenum cofactor + H2O,,2.10.1.1
R04429,butyryl-[acp]:NAD+ trans-2-oxidoreductase,Butyryl-[acp] + NAD+ <-> H+ + But-2-enoyl-[acyl-carrier protein] + NADH,,1.3.1.9/2.3.1.-
EX_C00001,H2O,H2O <-> ,,
R05046,formamidopyrimidine nucleoside triphosphate amidohydrolase,"Formamidopyrimidine nucleoside triphosphate + H2O -> Formate + 2,5-Diaminopyrimidine nucleoside triphosphate",-55.73161550244927,3.5.4.16
R06601,5-hydroxyisourate amidohydrolase,"5-Hydroxyisourate + H2O <- 5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate",156.69825099577128,3.5.2.17
R03026,(S)-3-hydroxybutanoyl-CoA hydro-lyase,(S)-3-Hydroxybutanoyl-CoA <-> Crotonoyl-CoA + H2O,3.274170932961681,4.2.1.17
R00006,pyruvate:pyruvate acetaldehydetransferase (decarboxylating),CO2 + 2-Acetolactate <- Pyruvate,27.01821369982622,2.2.1.6
R00582,O-phospho-L-serine phosphohydrolase,O-Phospho-L-serine + H2O -> L-Serine + Orthophosphate,-27.483918147604577,3.1.3.3
R03066,"6-(hydroxymethyl)-7,8-dihydropterin:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase","4-Aminobenzoate + 6-(Hydroxymethyl)-7,8-dihydropterin <-> Dihydropteroate + H2O",-9.616189835821984,2.5.1.15
R00566,L-arginine carboxy-lyase (agmatine-forming),L-Arginine -> Agmatine + CO2,-19.118630929591887,4.1.1.19
R05576,(S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase,3-Hydroxybutanoyl-CoA + NADP+ <-> Acetoacetyl-CoA + H+ + NADPH,4.240776799610785,1.1.1.157
R05665,"benzoate/toluate 1,2-dioxygenase","Oxygen + H+ + m-Methylbenzoate + NADH -> 1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate + NAD+",-350.7118705435397,1.14.12.-
R03051,"2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)","H+ + 2-Acetolactate + NADPH -> 2,3-Dihydroxy-3-methylbutanoate + NADP+",-15.621488413442421,1.1.1.86
R05604,D-arabinitol:NAD 4-oxidoreductase,D-Arabitol + NAD+ <-> H+ + D-Xylulose + NADH,8.570536470810111,1.1.1.11
R07766,octanoyl-[acp]:protein N6-octanoyltransferase,[Lipoyl-carrier protein]-L-lysine + Octanoyl-[acp] <-> [Protein]-N6-(octanoyl)-L-lysine + Acyl-carrier protein,0.0,2.3.1.181
R00235,acetate:CoA ligase (AMP-forming),Acetate + CoA + ATP <-> Diphosphate + Acetyl-CoA + AMP,-8.201438782231207,6.2.1.1
R02252,phenylpropanoate:NAD+ delta2-oxidoreductase,Phenylpropanoate + NAD+ <- trans-Cinnamate + H+ + NADH,49.68590021305408,1.3.1.31
R06786,"3-(3-hydroxyphenyl)propanoate,NADH:oxygen oxidoreductase (2-hydroxylating)","Oxygen + 3-(3-Hydroxyphenyl)propanoic acid + H+ + NADH -> NAD+ + 3-(2,3-Dihydroxyphenyl)propanoate + H2O",-422.65115102906714,1.14.13.127
R02240,"ATP:1,2-diacylglycerol 3-phosphotransferase","ATP + 1,2-Diacyl-sn-glycerol <-> Phosphatidate + ADP",,2.7.1.107
R00239,ATP:L-glutamate 5-phosphotransferase,L-Glutamate + ATP <- L-Glutamyl 5-phosphate + ADP,28.860970453650566,2.7.2.11
R01090,L-leucine:2-oxoglutarate aminotransferase,L-Leucine + 2-Oxoglutarate <-> 4-Methyl-2-oxopentanoate + L-Glutamate,0.32317899510735515,2.6.1.6/2.6.1.42/2.6.1.67
R01360,(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetate-lyase (acetyl-CoA-forming),(S)-3-Hydroxy-3-methylglutaryl-CoA -> Acetyl-CoA + Acetoacetate,-38.36518336401056,4.1.3.4
R02003,geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase,"Isopentenyl diphosphate + Geranyl diphosphate -> Diphosphate + trans,trans-Farnesyl diphosphate",-81.24714648855024,2.5.1.10
R01529,D-ribulose-5-phosphate 3-epimerase,D-Ribulose 5-phosphate <-> D-Xylulose 5-phosphate,-3.3881578544159083,5.1.3.1
R04741,(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase,(S)-3-Hydroxydodecanoyl-CoA + NAD+ <- 3-Oxododecanoyl-CoA + H+ + NADH,15.619639702529184,1.1.1.35/1.1.1.211
R09365,5-methyltetrahydropteroyltri-L-glutamate:L-selenohomocysteine Se-methyltransferase,Selenohomocysteine + 5-Methyltetrahydropteroyltri-L-glutamate <-> Tetrahydropteroyltri-L-glutamate + L-Selenomethionine,0.010957312420543985,2.1.1.13/2.1.1.14
R05549,alpha-galactosidase,D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose + H2O <-> D-Galactose + Melibiose,-5.502151831319935,3.2.1.22
R01902,ATP:L-xylulose 1-phosphotransferase,ATP + L-Xylulose -> ADP + L-Xylulose 1-phosphate,-26.014182945665652,2.7.1.5
R04035,phosphoribosyl-ATP pyrophosphohydrolase,1-(5-Phospho-D-ribosyl)-ATP + H2O -> Diphosphate + Phosphoribosyl-AMP,-107.33110496917803,3.6.1.31
R00529,ATP:sulfate adenylyltransferase,ATP + Sulfate -> Diphosphate + Adenylyl sulfate,46.51835720360225,2.7.7.4
R04544,(3R)-3-hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] <-> trans-Hexadec-2-enoyl-[acp] + H2O,,2.3.1.85/2.3.1.86/2.3.1.-/4.2.1.59
R00259,acetyl-CoA:L-glutamate N-acetyltransferase,Acetyl-CoA + L-Glutamate -> CoA + N-Acetyl-L-glutamate,-25.72436301804339,2.3.1.1
R05074,CMP-3-deoxy-D-manno-oct-2-ulosonate:(KDO)-lipid IVA 3-deoxy-D-manno-oct-2-ulosonate transferase,3-Deoxy-D-manno-octulosonyl-lipid IV(A) + CMP-3-deoxy-D-manno-octulosonate -> KDO2-lipid IVA + CMP,-254.7113621365694,2.4.99.13
R06895,coproporphyrinogen-III:S-adenosyl-L-methionine oxidoreductase(decarboxylating),S-Adenosyl-L-methionine + Coproporphyrinogen III -> Protoporphyrinogen IX + L-Methionine + 5'-Deoxyadenosine + CO2,-40.64910669850724,1.3.98.3
R03163,L-fucose aldose-ketose-isomerase,L-Fucose <-> L-Fuculose,5.45935198927998,5.3.1.3/5.3.1.25
R01562,adenosine 3'-phosphate phosphohydrolase,3'-AMP + H2O -> Adenosine + Orthophosphate,-35.07323551577212,3.1.3.6
R04944,O-phosphorylhomoserine:selenocysteine Se-(3-amino-3-carboxypropyl)transferase,L-Selenocysteine + O-Phosphorylhomoserine <-> L-Selenocystathionine + Orthophosphate,-0.3485406835462399,2.5.1.48
R05075,tetradecanoyl-[acyl-carrier protein]:dodecanoyl-KDO2-lipid IV(A) O-tetradecanoyltransferase,Lauroyl-KDO2-lipid IV(A) + Tetradecanoyl-[acp] <-> KDO2-lipid A + Acyl-carrier protein,,2.3.1.243
R02029,phosphatidylglycerophosphate phosphohydrolase,Phosphatidylglycerophosphate + H2O <-> Orthophosphate + Phosphatidylglycerol,,3.1.3.27
EX_C00111,Glycerone phosphate,Glycerone phosphate -> ,,
R01969,deoxyguanosine:orthophosphate ribosyltransferase,Deoxyguanosine + Orthophosphate <- Guanine + 2-Deoxy-D-ribose 1-phosphate,16.548928270797944,2.4.2.1/2.4.2.4
EX_C02679,Dodecanoic acid,Dodecanoic acid -> ,,
R02439,ATP:L-ribulose 5-phosphotransferase,ATP + L-Ribulose <-> ADP + L-Ribulose 5-phosphate,-13.725175080701433,2.7.1.16
R00291,UDP-glucose 4-epimerase,UDP-glucose <-> UDP-alpha-D-galactose,2.918375668718454,5.1.3.2
R13199,alpha-D-glucose-6-phosphate aldose-ketose-isomerase,alpha-D-Glucose 6-phosphate <-> D-Fructose 6-phosphate,-5.507181611086821,5.3.1.9
R04445,L-1-pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase,NADP+ + L-1-Pyrroline-3-hydroxy-5-carboxylate + H2O <-> H+ + L-erythro-4-Hydroxyglutamate + NADPH,1.6025137407089005,1.2.1.88
R03409,guanosine 3'-diphosphate 5'-triphosphate 5'-phosphohydrolase,"Guanosine 3'-diphosphate 5'-triphosphate + H2O -> Orthophosphate + Guanosine 3',5'-bis(diphosphate)",-46.33395955550432,3.6.1.11/3.6.1.40
R05064,(S)-3-hydroxyisobutyryl-CoA hydrolase,(S)-3-Hydroxyisobutyryl-CoA + H2O -> CoA + (S)-3-Hydroxyisobutyrate,-46.97474466842513,3.1.2.4
R01230,xanthosine-5'-phosphate:ammonia ligase (AMP-forming),Ammonia + ATP + Xanthosine 5'-phosphate -> Diphosphate + GMP + AMP,-318.1555587418096,6.3.5.2
EX_C00343,Thioredoxin disulfide,Thioredoxin disulfide <-> ,,
R02024,2'-deoxycytidine diphosphate:oxidized-thioredoxin 2'-oxidoreductase,H2O + Thioredoxin disulfide + dCDP <- Thioredoxin + CDP,39.653936027928125,1.17.4.1
R10845,"(2S,3S)-3-methylphenylalanine:2-oxoglutarate aminotransferase","2-Oxoglutarate + (2S,3S)-3-Methylphenylalanine <-> L-Glutamate + (3S)-2-Oxo-3-phenylbutanoate",-7.867471196627832,2.6.1.57/2.6.1.107
R00258,L-alanine:2-oxoglutarate aminotransferase,L-Alanine + 2-Oxoglutarate <-> Pyruvate + L-Glutamate,0.15728392512841083,2.6.1.2
R01132,IMP:diphosphate phospho-D-ribosyltransferase,Diphosphate + IMP <- 5-Phospho-alpha-D-ribose 1-diphosphate + Hypoxanthine,30.571425840891195,2.4.2.8
EX_C00014,Ammonia,Ammonia <- ,,
R02098,ATP:dUMP phosphotransferase,dUMP + ATP <-> dUDP + ADP,0.8832912134288335,2.7.4.4/2.7.4.9
EX_C00002,ATP,ATP <-> ,,
R00230,acetyl-CoA:phosphate acetyltransferase,Acetyl-CoA + Orthophosphate <-> CoA + Acetyl phosphate,8.672467245030674,2.3.1.8
R05506,benzoyl acetyl-CoA thiolase,CoA + Benzoylacetyl-CoA -> Benzoyl-CoA + Acetyl-CoA,-30.173568959480008,2.3.1.16/2.3.1.-
R01775,L-homoserine:NADP+ oxidoreductase,L-Homoserine + NADP+ <- H+ + L-Aspartate 4-semialdehyde + NADPH,19.43926068285714,1.1.1.3
EX_C00498,ADP-glucose,ADP-glucose -> ,,
R09771,"D-glycero-alpha-D-manno-heptose 1,7-bisphosphate 7-phosphohydrolase","D-glycero-alpha-D-manno-Heptose 1,7-bisphosphate + H2O -> D-glycero-alpha-D-manno-Heptose 1-phosphate + Orthophosphate",-25.767935408854434,3.1.3.83
R00510,cytidine-5'-monophosphate phosphoribohydrolase,CMP + H2O -> Cytosine + D-Ribose 5-phosphate,-26.548686044385732,3.2.2.10
R00694,L-phenylalanine:2-oxoglutarate aminotransferase,L-Phenylalanine + 2-Oxoglutarate <-> L-Glutamate + Phenylpyruvate,-0.07637398567914033,2.6.1.1/2.6.1.5/2.6.1.9/2.6.1.57
R04859,"O3-acetyl-L-serine:thiosulfate 2-amino-2-carboxyethyltransferase (reducing, L-cysteine-forming)",O-Acetyl-L-serine + Thiosulfate + Thioredoxin + H+ -> Acetate + L-Cysteine + Thioredoxin disulfide + Sulfite,-65.53115921660317,2.5.1.47/2.5.1.49
R01639,ATP:D-xylulose 5-phosphotransferase,ATP + D-Xylulose -> D-Xylulose 5-phosphate + ADP,-24.789477984369,2.7.1.17
R04097,3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase,3-Methylbutanoyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <-> CoA + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine,,2.3.1.168
R07599,2-oxoisovalerate dehydrogenase,Thiamin diphosphate + 3-Methyl-2-oxobutanoic acid -> 2-Methyl-1-hydroxypropyl-ThPP + CO2,-20.80293058835997,1.2.4.4
R02603,"2-hydroxy-6-oxonona-2,4-diene-1,9-dioate succinylhydrolase","Succinate + 2-Hydroxy-2,4-pentadienoate <- 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate + H2O",72.70550217028298,3.7.1.14
EX_C00065,L-Serine,L-Serine <-> ,,
R02085,(S)-3-hydroxy-3-methylglutaryl-CoA hydro-lyase (trans-3-methylglutaconyl-CoA-forming),(S)-3-Hydroxy-3-methylglutaryl-CoA <-> 3-Methylglutaconyl-CoA + H2O,0.39916233701916326,4.2.1.18
R03005,ATP:nicotinamide-nucleotide adenylyltransferase,Nicotinate D-ribonucleotide + ATP -> Diphosphate + Deamino-NAD+,-24.977925763892245,2.7.7.1/2.7.7.18
R00996,L-threonine ammonia-lyase (2-oxobutanoate-forming),L-Threonine -> Ammonia + 2-Oxobutanoate,-41.17958881126535,4.3.1.19
EX_C00332,Acetoacetyl-CoA,Acetoacetyl-CoA <-> ,,
R04509,ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase,ATP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine <-> ADP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,5.654827001018475,2.7.4.7
R02749,"2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase",2-Deoxy-D-ribose 1-phosphate -> 2-Deoxy-D-ribose 5-phosphate,-26.740619487049514,5.4.2.7
R02914,"4,5-dihydro-4-oxo-5-imidazolepropanoate hydro-lyase",4-Imidazolone-5-propanoate <- Urocanate + H2O,10.083531633698584,4.2.1.49
R00842,sn-glycerol-3-phosphate:NAD+ 2-oxidoreductase,NAD+ + sn-Glycerol 3-phosphate <- Glycerone phosphate + H+ + NADH,22.626718063219414,1.1.1.8/1.1.1.94
R01648,4-aminobutanoate:2-oxoglutarate aminotransferase,4-Aminobutanoate + 2-Oxoglutarate <-> Succinate semialdehyde + L-Glutamate,6.510865899433213,2.6.1.19
EX_C00222,3-Oxopropanoate,3-Oxopropanoate <-> ,,
R00066,"6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase","6,7-Dimethyl-8-(D-ribityl)lumazine -> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil",-96.8522260698818,2.5.1.9
R04739,(S)-3-hydroxytetradecanoyl-CoA:NAD+ oxidoreductase,NAD+ + (S)-3-Hydroxytetradecanoyl-CoA <- 3-Oxotetradecanoyl-CoA + NADH,15.619639702528275,1.1.1.35/1.1.1.211
R01228,ATP:guanosine 5'-phosphotransferase,Guanosine + ATP -> GMP + ADP,-21.9802342233329,2.7.1.73
EX_C00011,CO2,CO2 <-> ,,
R04744,(S)-hydroxydecanoyl-CoA hydro-lyase,(S)-Hydroxydecanoyl-CoA <-> trans-Dec-2-enoyl-CoA + H2O,-0.4319535148248974,4.2.1.17/4.2.1.74
EX_C00186,(S)-Lactate,(S)-Lactate -> ,,
R01528,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),NADP+ + 6-Phospho-D-gluconate <-> CO2 + H+ + D-Ribulose 5-phosphate + NADPH,-6.800527783198191,1.1.1.44/1.1.1.351
R02556,deoxyadenosine aminohydrolase,H2O + Deoxyadenosine -> Ammonia + Deoxyinosine,-36.19591009447143,3.5.4.4
R01215,L-valine:pyruvate aminotransferase,L-Valine + Pyruvate <-> L-Alanine + 3-Methyl-2-oxobutanoic acid,1.5674006348244234,2.6.1.66
R00660,phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase,UDP-N-acetyl-alpha-D-glucosamine + Phosphoenolpyruvate <-> Orthophosphate + UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine,-14.775426928272509,2.5.1.7
R01466,O-phospho-L-homoserine phosphate-lyase (adding waterL-threonine-forming),O-Phospho-L-homoserine + H2O -> Orthophosphate + L-Threonine,-46.48730074364826,4.2.3.1
R01082,(S)-malate hydro-lyase (fumarate-forming),(S)-Malate <-> Fumarate + H2O,3.4246457741631957,4.2.1.2
R04968,tetradecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Tetradecanoyl-[acp] + Malonyl-[acyl-carrier protein] <-> CO2 + Acyl-carrier protein + 3-Oxohexadecanoyl-[acp],,2.3.1.41/2.3.1.85/2.3.1.86/2.3.1.179
R02019,2'-deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase,H2O + Thioredoxin disulfide + dGDP <- Thioredoxin + GDP,38.961515100474685,1.17.4.1
R07762,hexadecanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),Hexadecanoyl-[acp] + Malonyl-[acyl-carrier protein] <-> 3-Oxostearoyl-[acp] + CO2 + Acyl-carrier protein,,2.3.1.41/2.3.1.179/2.3.1.199/2.3.1.-
R04740,(S)-3-hydroxytetradecanoyl-CoA hydro-lyase,(S)-3-Hydroxytetradecanoyl-CoA <-> trans-Tetradec-2-enoyl-CoA + H2O,-0.4319535148248974,4.2.1.17/4.2.1.74
R07409,"choline,reduced-ferredoxin:oxygen oxidoreductase",Oxygen + Reduced ferredoxin + H+ + Choline -> Betaine aldehyde + Oxidized ferredoxin + H2O,-432.2392320160543,1.14.15.7
EX_C00424,(S)-Lactaldehyde,(S)-Lactaldehyde -> ,,
R01231,xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming),ATP + L-Glutamine + Xanthosine 5'-phosphate + H2O -> Diphosphate + GMP + L-Glutamate + AMP,-349.6159325565392,6.3.5.2
EX_C00924,Ferrocytochrome,Ferrocytochrome <-> ,,
R00654,L-methionine methanethiol-lyase (deaminating2-oxobutanoate-forming),L-Methionine + H2O -> Ammonia + 2-Oxobutanoate + Methanethiol,-43.10862381176604,4.4.1.11
R04880,"3,4-dihydroxyphenylethyleneglycol:NAD+ oxidoreductase","3,4-Dihydroxyphenylethyleneglycol + NAD+ <- H+ + 3,4-Dihydroxymandelaldehyde + NADH",17.618647962000296,1.1.1.1
R05222,GTP:adenosylcobinamide-phosphate guanylyltransferase,GTP + Adenosyl cobinamide phosphate <- Diphosphate + Adenosine-GDP-cobinamide,40.96679382298498,2.7.7.62
R00028,maltose glucohydrolase,Maltose + H2O -> D-Glucose,-31.345859734557195,3.2.1.20
R00710,acetaldehyde:NAD+ oxidoreductase,Acetaldehyde + NAD+ + H2O -> Acetate + H+ + NADH,-55.637470075038664,1.2.1.3/1.2.1.5
R02437,L-rhamnose ketol-isomerase,L-Rhamnose <-> L-Rhamnulose,0.13329422607398556,5.3.1.14
R00182,AMP phosphoribohydrolase,AMP + H2O -> Adenine + D-Ribose 5-phosphate,-35.02245499753272,3.2.2.4
R01226,"5,10-methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase","5,10-Methylenetetrahydrofolate + 3-Methyl-2-oxobutanoic acid + H2O <-> 2-Dehydropantoate + Tetrahydrofolate",6.298426646461394,2.1.2.11
R04534,(3R)-3-hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] + NADP+ <-> 3-Oxodecanoyl-[acp] + NADPH,,1.1.1.100/1.1.1.-/2.3.1.85/2.3.1.86
R08158,decanoyl-[acyl-carrier protein] hydrolase,Decanoyl-[acp] + H2O <-> Decanoic acid + Acyl-carrier protein,,3.1.2.21
R07396,4-Methylthio-2-oxobutanoic acid transferase,L-Glutamate + 4-Methylthio-2-oxobutanoic acid <-> L-Methionine + 2-Oxoglutarate,10.400249971441156,2.6.1.5/2.6.1.57
R00931,"propanoyl-CoA:oxaloacetate C-propanoyltransferase (thioester-hydrolysing, 1-carboxyethyl-forming)",2-Methylcitrate + CoA <- Propanoyl-CoA + Oxaloacetate + H2O,40.397641026124674,2.3.3.5
R04606,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine:2,3-bis-(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl-1-phosphate 2,3-bis(3-hydroxytetradecanoyl)-glucosaminyltransferase","UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine + Lipid X -> UDP + Lipid A disaccharide",-25.79741987635498,2.4.1.182
R09081,carboxyspermidine carboxy-lyase (spermidine-forming),Carboxyspermidine -> CO2 + Spermidine,-38.0766110294996,4.1.1.96
R00268,oxalosuccinate carboxy-lyase (2-oxoglutarate-forming),Oxalosuccinate -> CO2 + 2-Oxoglutarate,-27.416839316900393,1.1.1.42
R04418,5-carboxymethyl-2-hydroxymuconic-semialdehyde:NAD+ oxidoreductase,2-Hydroxy-5-carboxymethylmuconate semialdehyde + NAD+ + H2O -> H+ + 5-Carboxymethyl-2-hydroxymuconate + NADH,-47.29425945874664,1.1.1.312/1.2.1.60
R03471,ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase,4-Amino-5-hydroxymethyl-2-methylpyrimidine + ATP <-> ADP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,-11.46327080805969,2.7.1.49
R04198,"2,3,4,5-tetrahydrodipicolinate:NAD+ 4-oxidoreductase","2,3,4,5-Tetrahydrodipicolinate + NAD+ + H2O <- (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + H+ + NADH",47.5531850838438,1.17.1.8
R00299,ATP:D-glucose 6-phosphotransferase,ATP + D-Glucose -> D-Glucose 6-phosphate + ADP,-20.401307562184343,2.7.1.1/2.7.1.2
R05223,Adenosine-GDP-cobinamide transferase,GMP + Cobamide coenzyme <- Adenosine-GDP-cobinamide + alpha-Ribazole,90.79643771939595,2.7.8.26
R04325,10-formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase,10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide <-> 5'-Phosphoribosyl-N-formylglycinamide + Tetrahydrofolate,-1.43782053335201,2.1.2.2
R00734,L-tyrosine:2-oxoglutarate aminotransferase,L-Tyrosine + 2-Oxoglutarate <-> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,0.37600128851892123,2.6.1.1/2.6.1.5/2.6.1.9/2.6.1.57
R03217,O-acetyl-L-homoserine succinate-lyase (adding cysteine),L-Cysteine + O-Acetyl-L-homoserine -> Acetate + L-Cystathionine,-72.4820302738907,2.5.1.48
EX_C00058,Formate,Formate -> ,,
R01560,adenosine aminohydrolase,Adenosine + H2O -> Ammonia + Inosine,-37.40101597981206,3.5.4.4
R04376,"3-(2,3-dihydroxyphenyl)propanoate:oxygen 1,2-oxidoreductase (decyclizing)","Oxygen + 3-(2,3-Dihydroxyphenyl)propanoate -> 2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",-246.54247673864083,1.13.11.16
R00489,L-aspartate 1-carboxy-lyase (beta-alanine-forming),L-Aspartate -> beta-Alanine + CO2,-34.0065125871084,4.1.1.11/4.1.1.15
R04535,(3R)-3-hydroxydecanoyl-[acyl-carrier-protein] hydro-lyase,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] <-> trans-Dec-2-enoyl-[acp] + H2O,,2.3.1.85/2.3.1.86/2.3.1.-/4.2.1.59
R01357,acetoacetate:CoA ligase (AMP-forming),CoA + ATP + Acetoacetate <-> Acetoacetyl-CoA + Diphosphate + AMP,-2.098362886836071,6.2.1.16
R04444,L-1-pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase,NAD+ + L-1-Pyrroline-3-hydroxy-5-carboxylate + H2O <-> H+ + L-erythro-4-Hydroxyglutamate + NADH,1.6003696457203205,1.2.1.88
R04379,"5-carboxymethyl-2-hydroxymuconate delta2,delta4-2-oxo,delta3-isomerase",5-Carboxymethyl-2-hydroxymuconate <-> 5-Carboxy-2-oxohept-3-enedioate,0.0010251994900727368,5.3.3.10
R03018,ATP:pantothenate 4'-phosphotransferase,ATP + Pantothenate <-> D-4'-Phosphopantothenate + ADP,-11.789891756196198,2.7.1.33
R01715,chorismate pyruvatemutase,Chorismate -> Prephenate,-48.66944600768505,5.4.99.5
R01201,ATP:N-acetyl-D-glucosamine 6-phosphotransferase,N-Acetyl-D-glucosamine + ATP <-> ADP + N-Acetyl-D-glucosamine 6-phosphate,-12.094094826765286,2.7.1.59
R02272,"(S)-4-amino-5-oxopentanoate 4,5-aminomutase",5-Aminolevulinate <- (S)-4-Amino-5-oxopentanoate,9.314422115754155,5.4.3.8
R04742,decanoyl-CoA:acetyl-CoA C-acyltransferase,Acetyl-CoA + Decanoyl-CoA <- CoA + 3-Oxododecanoyl-CoA,30.173820388936292,2.3.1.16
R00089,"ATP diphosphate-lyase (cyclizing 3',5'-cyclic-AMP-forming)","ATP -> Diphosphate + 3',5'-Cyclic AMP",-16.63327590812898,4.6.1.1
EX_C00923,Ferricytochrome,Ferricytochrome <-> ,,
R09801,"N2-acetyl-L-2,4-diaminobutanoate amidohydrolase","N(alpha)-Acetyl-L-2,4-diaminobutyrate + H2O -> Acetate + L-2,4-Diaminobutanoate",-27.442675768569273,3.5.1.125
R01771,ATP:L-homoserine O-phosphotransferase,ATP + L-Homoserine -> ADP + O-Phospho-L-homoserine,-39.408859791519944,2.7.1.39
R03896,(R)-2-methylmalate hydro-lyase (2-methylmaleate-forming),(R)-2-Methylmalate <- 2-Methylmaleate + H2O,9.371863922104808,4.2.1.35
R07769,lipoyl-[acp]:protein N6-lipoyltransferase,[Lipoyl-carrier protein]-L-lysine + Lipoyl-[acp] <-> Protein N6-(lipoyl)lysine + Acyl-carrier protein,0.0,2.3.1.181
R03314,L-Glutamate hydrolase,L-Glutamate 5-semialdehyde <-> (S)-1-Pyrroline-5-carboxylate + H2O,-7.417743371137703,
R00086,ATP phosphohydrolase,ATP + H2O -> ADP + Orthophosphate,-46.756590808665,3.6.1.5/3.6.1.8/3.6.1.15/3.6.1.-
R01826,"phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)",Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O -> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate,-74.35200959846352,2.5.1.54
R00277,pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating),Oxygen + Pyridoxamine phosphate + H2O -> Pyridoxal phosphate + Ammonia + Hydrogen peroxide,-114.32309096696265,1.4.3.5
EX_C00641,"1,2-Diacyl-sn-glycerol","1,2-Diacyl-sn-glycerol -> ",,
R00832,succinyl-CoA:L-arginine N2-succinyltransferase,Succinyl-CoA + L-Arginine <-> CoA + N2-Succinyl-L-arginine,-8.559810768506395,2.3.1.109
